exchange,instrument_token,tradingsymbol
NSE,3089153,DCM-BL
NSE,3771393,DLF
NSE,3542785,DONEAR
NSE,3461377,EMAMILTD-BL
NSE,3098369,KOPRAN-BL
NSE,4917249,TMRVL-BL
NSE,4432129,UBENGG-BL
NSE,3684609,UNIPLY
NSE,2692865,FEL-BE
NSE,3929601,GSS-BL
NSE,3576321,HBLPOWER-BE
NSE,978177,ZODIACLOTH
NSE,2413057,ICICI1100-NA
NSE,384001,INDAL
NSE,4484609,SETCO-BE
NSE,2413569,SKIPPER
NSE,4708097,RBLBANK
NSE,4282625,RPGLIFE-BE
NSE,2568449,SIRPAPER-BZ
NSE,6296321,RUSHIL
NSE,6567937,SEZAL
NSE,1522689,SOUTHBANK
NSE,4672513,SPAL
NSE,2329601,STERLINBIO-BE
NSE,3273729,SUBROS-BL
NSE,3563265,SURANAIND-BE
NSE,2739201,SURANAT&P
NSE,4657409,TANFACIND-BL
NSE,6003713,TCIDEVELOP
NSE,4922113,TCIEXP-BE
NSE,2232833,TCIFINANCE-BE
NSE,4939521,TERASOFT-BL
NSE,899073,TNTELE
NSE,2231297,TORRENGUJ-BE
NSE,930305,UTTAMSTL
NSE,1922049,ZENTEC
NSE,73217,GICRE-BL
NSE,3475713,VOLTAMP
NSE,1305857,ATUL-BE
NSE,2977025,WELENT-BE
NSE,2385665,BALAJIIND-BE
NSE,87297,BALRAMCHIN
NSE,3918337,BANG-BL
NSE,5324545,BHAGYANGR-BE
NSE,2197249,WESTERNBIO-BE
NSE,3729153,BFUTILITIE
NSE,4127489,BHARATWIRE
NSE,2911489,BIOCON
NSE,1001217,CAPLIPOINT-BL
NSE,150785,CAPRIHANS
NSE,5142785,CAREERP-BL
NSE,4444161,GKWLIMITED-BE
NSE,310017,GOVINRUBER
NSE,3193089,INDIAGLYCO-BL
NSE,4849665,KINGFA
NSE,4490497,DAMODARIND
NSE,3154689,DATAMATICS-BL
NSE,2924289,DATAMATICS
NSE,224001,DRBECK
NSE,3867905,DUNCANSLTD-BZ
NSE,1778433,GANECOS-BL
NSE,1777665,GANECOS
NSE,2288385,GEORGFISCH-BE
NSE,2945025,GEODESIC
NSE,295169,GLAXO
NSE,321281,GOLDENTOBC
NSE,3379457,GSPL-BL
NSE,3549441,GTOFFSHORE
NSE,3758337,GUJAPOLLO-BE
NSE,3180033,GUJNRECOKE-BL
NSE,3258113,GULFPETRO-BL
NSE,1137665,HAWKINCOOK
NSE,1180417,HDFC-BE
NSE,1482241,HMT-BE
NSE,2460161,ICDSLTD-BE
NSE,2727681,ICICI0202-NB
NSE,2759681,IDFCBANK-N1
NSE,295681,VALUEIND-BZ
NSE,3731201,GLOBOFFS-BL
NSE,3489281,MICROTECH
NSE,297217,ORCHIDPHAR-BZ
NSE,715265,RSWM
NSE,296449,SAMTEL-BZ
NSE,3048705,SWELECTES
NSE,1857281,SWIL-BE
NSE,2138369,KHAITANELE-BE
NSE,3210497,KHAITANELE-BL
NSE,2137345,KHAITANELE
NSE,4292353,METKORE-BE
NSE,3258881,SALORAINTL-BL
NSE,3106817,RADAAN-BL
NSE,611329,NELCO
NSE,6203137,OMMETALS
NSE,2642177,PKTEA
NSE,3616513,RADICO-BE
NSE,2813441,RADICO
NSE,2048001,RAJESHEXPO-BE
NSE,2204161,RAJSREESUG-BE
NSE,3688193,RAJTV-BE
NSE,4450817,RAJOIL-BE
NSE,3252993,RANEHOLDIN-BL
NSE,6202625,RELAXO-BE
NSE,3079425,RENUKA-BE
NSE,2195713,RAYMONDSYN-BE
NSE,4345345,REIAGROLTD
NSE,2479361,TRIDENT
NSE,3538177,RUCHIRA
NSE,3599617,SANGHVIMOV-BL
NSE,5137153,SASTASUNDR-BE
NSE,3664385,TTL
NSE,3637249,TV18BRDCST
NSE,4331009,WABCOINDIA-BL
NSE,3159041,EASUNREYRL-BL
NSE,2923521,SALZERELEC-BE
NSE,3595009,SARLAPOLY
NSE,2381057,SINTEX-BE
NSE,6004481,TCIDEVELOP-BL
NSE,2952193,ULTRACEMCO
NSE,1704449,ULTRMARINE-BE
NSE,463617,KAKATCEM
NSE,3874049,RJL-BE
NSE,3475457,MANUGRAPH-BL
NSE,3749377,MIC-BL
NSE,3764481,NAGREEKEXP-BE
NSE,3224833,NEXTMEDIA-BL
NSE,4317697,LPDC-BL
NSE,3233793,NILKAMAL-BL
NSE,2507777,SOTL-BE
NSE,3921409,TULSI
NSE,3610881,PTL-BE
NSE,6940161,SPECIALITY-BL
NSE,806401,SIEMENS
NSE,2104321,MYSORPETRO-BE
NSE,77825,SGBOCT25IV-GB
NSE,3024897,SHOPERSTOP-BE
NSE,3199489,IVC-BL
NSE,1180929,SIEMENS-BE
NSE,3292417,USHAMART-BL
NSE,3401985,M&MFIN-BE
NSE,1909249,BKMINDST-BL
NSE,1906177,BKMINDST
NSE,7995905,SCHNEIDER
NSE,6937089,SWANENERGY-BL
NSE,867841,SWIL
NSE,414977,TATAINVEST
NSE,4343809,TATAMTRDVR-BL
NSE,4938753,TERASOFT
NSE,893441,TIMEXWATCH
NSE,3635713,TIMKEN-BE
NSE,8043265,NBCC-BE
NSE,3642113,TIIL-BE
NSE,2891009,UNIENTER
NSE,5469697,SALASAR-BE
NSE,5469441,SALASAR-BL
NSE,3715585,BANSWRAS-BL
NSE,1410049,GECALSTHOM-BE
NSE,5583617,SBILIFE-BL
NSE,5160705,ARIHANTSUP
NSE,183041,CLNINDIA
NSE,3661825,FSL
NSE,5584641,REIAGROLTD-BZ
NSE,5582849,SBILIFE
NSE,4300289,ARCHIDPLY-BL
NSE,3476993,ATLANTA-BE
NSE,3937793,BALLARPUR-BE
NSE,242177,EMTEXIND
NSE,288513,GHCL
NSE,3392257,SAKUMA
NSE,5583873,SBILIFE-BE
NSE,2991105,IMPEXFERRO-BE
NSE,3212289,KOTHARIPRO-BL
NSE,5327361,L&TINFRA-N2
NSE,4608513,UNITEDTEA-BL
NSE,1529857,MAHSCOOTER-BE
NSE,3804929,OMNITECH-BL
NSE,5088513,RADIOCITY
NSE,3434497,RSYSTEMS-BL
NSE,7732481,SRTRANSFIN-NX
NSE,3552001,JINDRILL
NSE,869377,TAINWALCHM
NSE,128001,VERTOZ-SM
NSE,264969,INDIA VIX
NSE,3584769,ZEEMEDIA
NSE,3428865,ZICOM-BE
NSE,3690241,PAGEIND-BL
NSE,592897,HEIDELBERG
NSE,3854337,SABTN
NSE,3646721,TVSSRICHAK
NSE,2887169,TVTODAY-BE
NSE,923393,UNIVCABLES
NSE,3108609,SAMBHAAV-BL
NSE,3907329,RPOWER-BL
NSE,2257665,SOUTHNHERB-BE
NSE,3239937,PAPERPROD-BL
NSE,3906305,RPOWER
NSE,3108353,SAKSOFT-BL
NSE,3619329,PITTILAM-BE
NSE,2733057,COREEDUTEC-BZ
NSE,8004609,CRMFGETF-BL
NSE,2608897,SHYAMCENT-BL
NSE,2290689,STINDIA-BE
NSE,3431937,SUNTV-BL
NSE,3276801,SURANAT&P-BL
NSE,3372289,TINPLATE-BL
NSE,894209,TINPLATE
NSE,4974081,EMPEESUG
NSE,5446401,SUMMITSEC
NSE,4273153,SURANACORP-BL
NSE,3634689,TIMKEN
NSE,2376961,TINPLATE-BE
NSE,2016513,UNITECH-BE
NSE,920065,UNITECH
NSE,3163905,EVERESTIND-BL
NSE,4997889,FARMAXIND-BE
NSE,3275777,SUPPETRO-BL
NSE,4272385,SURANACORP
NSE,2691585,UTINIFTETF-BL
NSE,3218945,VTL-BL
NSE,3113473,FOURTHDIM-SM
NSE,3414273,GALLANTT
NSE,3182593,HEG-BL
NSE,2466049,HOTLINGLAS-BE
NSE,1396737,TATAUNISYS-BE
NSE,3755521,KMSUGAR-BL
NSE,4581633,KWALITY
NSE,3482625,LAKPRE
NSE,3099393,LLOYDFIN-BL
NSE,502785,TRENT
NSE,3604993,OFSS-BE
NSE,4367873,PALREDTEC
NSE,2526209,ANDHRABANK-BE
NSE,3123969,ANDHRABANK-BL
NSE,1223937,ARVIND-BE
NSE,2517249,BELLARYSTL-BE
NSE,5003777,SREIBNPNCD-NM
NSE,3863553,EDL-BE
NSE,4547073,SARDAEN-BE
NSE,3436545,EMKAY-BE
NSE,3262977,SHAHALLOYS-BL
NSE,2858241,COFFEEDAY
NSE,7964161,DBSTOCKBRO-BL
NSE,1144065,ELECTHERM
NSE,297985,NEWGEN
NSE,1676545,GRPLTD-BE
NSE,299521,NEWGEN-BE
NSE,3271425,SSWL-BL
NSE,251137,ESSELPACK
NSE,298753,NEWGEN-BL
NSE,1999361,FDC-BE
NSE,3767041,HGS-BE
NSE,3940865,SITASHREE
NSE,829441,SOUTHNHERB
NSE,2030849,SUBROS-BE
NSE,860929,SUPREMEIND
NSE,6937345,SWANENERGY-BE
